EmployeeID,Name,Department,Salary,JoinDate,Email,Phone,City,Country,PerformanceScore
1001,Nicholas Henderson,Operations,110390,2020-12-10,bvargas@gmail.com,583-524-6000x425,Port Shawntown,Bosnia and Herzegovina,Average
1002,Joseph Clark,Sales,92329,2025-06-01,daniel66@hotmail.com,(761)670-4345,East Audreystad,Tajikistan,Good
1003,Karen Novak,Finance,83088,2017-09-25,ralphgarcia@gmail.com,(876)590-0352,Nicholasfort,Korea,Excellent
1004,Jose Jackson,Operations,143196,2020-06-16,james51@wells-gray.com,927-492-4587x48682,Port Veronica,Cameroon,Excellent
1005,Denise Ferrell,Marketing,79811,2021-06-09,ericmartin@hotmail.com,001-458-474-3789x589,Simontown,Syrian Arab Republic,Good
1006,Roy Roberts,Finance,95479,2020-10-18,alisonguerrero@smith.info,001-834-205-6382,Annettetown,Gambia,Poor
1007,Brian Skinner,Finance,125392,2020-05-22,ramosholly@lucero.com,+1-905-495-5775x202,Williamfort,Togo,Poor
1008,Elizabeth Williams,Operations,127369,2017-05-03,koconnell@fox-walker.com,484-975-7312,Lake Jill,Falkland Islands (Malvinas),Poor
1009,Christina Estrada,Engineering,59963,2019-08-02,ngordon@rodriguez.com,(764)336-9581,Toddhaven,Iceland,Poor
1010,Zachary Johnson,Marketing,95123,2024-02-09,hannah89@yahoo.com,001-834-797-6658x5882,Port William,Ukraine,Good
1011,Adam Lewis,Operations,142468,2021-01-22,andrea44@ramirez.com,001-498-796-9745,Collinsland,Indonesia,Poor
1012,Erika Cunningham,Marketing,132705,2018-02-26,samuel92@blanchard.biz,001-909-749-5970x671,Lynnville,Romania,Average
1013,Carolyn Valdez,Marketing,113477,2015-07-30,sawyermary@hotmail.com,(455)518-9245x873,Moorestad,Western Sahara,Poor
1014,Beth Banks,Finance,54388,2023-06-10,pattersondonald@gmail.com,441.998.9116,New Elizabethchester,United Kingdom,Excellent
1015,Richard Davis,Sales,45569,2020-11-21,michael41@watson.biz,5620379306,Keithfort,Micronesia,Poor
1016,Taylor Hernandez,Marketing,109836,2021-07-30,gutierrezjacob@wright-lewis.com,001-689-739-1842x763,Weaverfort,Peru,Good
1017,Veronica Hernandez,IT,144573,2023-01-28,mcdonaldrita@hotmail.com,001-382-346-2938x13110,Schmidtchester,Hungary,Excellent
1018,Robert Brown,Finance,76586,2018-06-26,robert93@ward.com,044-354-9254,Lake Frankland,Cocos (Keeling) Islands,Good
1019,Lynn Espinoza,Engineering,52015,2022-07-28,victoriabell@gmail.com,(731)652-0732,North Elijahberg,Seychelles,Good
1020,Krista Rodriguez,Sales,85002,2020-08-07,rickylawson@henry.com,825-987-1410x959,Mackmouth,Somalia,Excellent
1021,Tasha Riggs,IT,46254,2024-07-28,jenniferjones@curtis-hayden.org,719.263.8905x8278,Sancheztown,British Indian Ocean Territory (Chagos Archipelago),Good
1022,Tony Werner,IT,57144,2023-05-12,kimberly54@gmail.com,001-480-661-3578x963,Samanthatown,Central African Republic,Good
1023,Jason Morgan,Engineering,64214,2018-12-18,awalker@brown-wallace.net,001-868-433-1143x409,West Colin,Argentina,Poor
1024,Melissa Russell,Sales,145654,2023-11-29,richardperez@gmail.com,743.906.2825,Port Felicia,Argentina,Average
